epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.23422,0,37.7604,0,0,0,0,0,0,30.0592,0,0.1,0,0
2,5.83236,0,27.8649,0,0,0,0,0,0,22.3552,0,0.0990098,9.802e-06,9.802e-06
3,8.37977,0,20.7435,0,0,0,0,0,0,16.682,0,0.0980192,1.9208e-05,1.9208e-05
4,10.9387,0,15.4618,0,0,0,0,0,0,12.5183,0,0.0970282,2.8218e-05,2.8218e-05
5,13.4848,0,11.5604,0,0,0,0,0,0,9.4334,0,0.0960368,3.6832e-05,3.6832e-05
6,16.2083,0,8.68884,0,0,0,0,0,0,7.14802,0,0.0950451,4.505e-05,4.505e-05
7,18.7807,0,6.56687,0,0,0,0,0,0,5.43701,0,0.0940529,5.2872e-05,5.2872e-05
8,21.2884,0,4.97534,0,0,0,0,0,0,4.1513,0,0.0930603,6.0298e-05,6.0298e-05
9,23.8152,0,3.78998,0,0,0,0,0,0,4.1513,0,0.0920673,6.7328e-05,6.7328e-05
10,26.3067,0,3.78857,0,0,0,0,0,0,3.19302,0,0.091074,7.3962e-05,7.3962e-05
11,28.7468,0,2.90414,0,0,0,0,0,0,3.19302,0,0.0900802,8.02e-05,8.02e-05
12,31.2125,0,2.90257,0,0,0,0,0,0,2.47172,0,0.089086,8.6042e-05,8.6042e-05
13,33.6972,0,2.24224,0,0,0,0,0,0,2.47172,0,0.0880915,9.1488e-05,9.1488e-05
14,36.1409,0,2.24497,0,0,0,0,0,0,1.92579,0,0.0870965,9.6538e-05,9.6538e-05
15,38.5638,0,1.74944,0,0,0,0,0,0,1.92579,0,0.0861012,0.000101192,0.000101192
16,41.0467,0,1.74122,0,0,0,0,0,0,1.51244,0,0.0851054,0.00010545,0.00010545
17,43.6096,0,1.3686,0,0,0,0,0,0,1.51244,0,0.0841093,0.000109312,0.000109312
18,46.0131,0,1.36547,0,0,0,0,0,0,1.19571,0,0.0831128,0.000112778,0.000112778
19,48.5123,0,1.07781,0,0,0,0,0,0,1.19571,0,0.0821158,0.000115848,0.000115848
20,50.9776,0,1.07359,0,0,0,0,0,0,0.95126,0,0.0811185,0.000118522,0.000118522
21,53.5738,0,0.85263,0,0,0,0,0,0,0.95126,0,0.0801208,0.0001208,0.0001208
22,56.1944,0,0.85232,0,0,0,0,0,0,0.76149,0,0.0791227,0.000122682,0.000122682
23,58.5754,0,0.68026,0,0,0,0,0,0,0.76149,0,0.0781242,0.000124168,0.000124168
24,61.0775,0,0.67981,0,0,0,0,0,0,0.76149,0,0.0771253,0.000125258,0.000125258
25,63.7131,0,0.67888,0,0,0,0,0,0,0.61694,0,0.076126,0.000125952,0.000125952
